split,overall_accuracy,balanced_accuracy,mae,macro_roc_auc,weighted_roc_auc,qwk
Validation,0.5314769975786925,0.5830224271536093,0.574566192257491,0.8422768566091161,0.8085876339221756,0.7496162829496162
Test,0.5706521739130435,0.6074512406785713,0.5340398521239055,0.8593004068431551,0.8323570141306731,0.7762764938570716
