Split,Overall Accuracy,Balanced Accuracy,MAE,Macro ROC AUC (ordinal),Weighted ROC AUC,Quadratic Weighted Kappa
Validation,0.6441,0.6602,0.4613,0.9299,0.8395,0.766
Test,0.6473,0.6518,0.4511,0.9403,0.8547,0.776
