loss,mae,accuracy,val_loss,val_mae,val_accuracy
3.280229330062866,1.382879614830017,0.3170762062072754,1.352447748184204,0.8918894529342651,0.40625
1.2670917510986328,0.8733087182044983,0.3782585561275482,1.0470670461654663,0.7887832522392273,0.38701921701431274
1.0200039148330688,0.7827104926109314,0.39595797657966614,1.1130794286727905,0.7993550300598145,0.4014423191547394
0.944977343082428,0.7518981695175171,0.40551993250846863,1.0721461772918701,0.7752028107643127,0.4110576808452606
0.8983809351921082,0.7320640683174133,0.41664883494377136,0.9325162768363953,0.7468796968460083,0.39423078298568726
0.8982144594192505,0.7323427200317383,0.40925922989845276,0.9511860013008118,0.7475137114524841,0.39615386724472046
0.8543657660484314,0.7119355201721191,0.4214209318161011,0.9091799259185791,0.7201426029205322,0.4209134876728058
0.8388798236846924,0.7049722075462341,0.425017774105072,1.0149880647659302,0.7576299905776978,0.40216347575187683
0.8241589069366455,0.6973630785942078,0.42854344844818115,0.9813255071640015,0.7568982839584351,0.4033654034137726
0.810696005821228,0.6905112266540527,0.4327635169029236,0.9788752794265747,0.7443453669548035,0.4165865480899811
0.8001083731651306,0.6857820749282837,0.43844375014305115,0.9149917960166931,0.7287833094596863,0.4129807651042938
0.780799925327301,0.673144519329071,0.4527243673801422,0.9448990821838379,0.7338159084320068,0.4266826808452606
0.8281733393669128,0.6974636316299438,0.43741098046302795,1.04660165309906,0.7788040041923523,0.40264421701431274
0.7180359959602356,0.6420601010322571,0.4739850163459778,0.7621244192123413,0.6561800837516785,0.4526442289352417
0.6839326024055481,0.6241811513900757,0.4877314865589142,0.7391354441642761,0.6571646332740784,0.4466346204280853
0.6536870002746582,0.6055126190185547,0.5023860335350037,0.906825840473175,0.7183970808982849,0.4298076927661896
0.6162967681884766,0.584181547164917,0.5266915559768677,0.8411011099815369,0.6664366722106934,0.4920673072338104
0.5841609835624695,0.5649104118347168,0.5406873226165771,0.8560364842414856,0.6824407577514648,0.47187501192092896
0.5738313794136047,0.5644318461418152,0.5310007333755493,0.7670835852622986,0.6321408152580261,0.5168269276618958
0.5492180585861206,0.54612797498703,0.5536503195762634,0.7266688346862793,0.6327826380729675,0.4740384519100189
0.5336346626281738,0.537284255027771,0.569284200668335,0.6966259479522705,0.6244663000106812,0.48990386724472046
0.5340227484703064,0.5386987328529358,0.5573183298110962,0.6751914620399475,0.6015160083770752,0.5206730961799622
0.5194421410560608,0.5286096930503845,0.5776887536048889,0.7588365077972412,0.6424649357795715,0.46947115659713745
0.49583539366722107,0.5154034495353699,0.5858440399169922,0.8103696703910828,0.6515412330627441,0.5062500238418579
0.4842025339603424,0.5088672041893005,0.5940883159637451,0.6735551953315735,0.6012110114097595,0.5110577344894409
0.4704112410545349,0.5023495554924011,0.5956730842590332,0.7204888463020325,0.6153145432472229,0.5021634697914124
0.4523755609989166,0.48932066559791565,0.6077101230621338,0.740647554397583,0.6279873251914978,0.5033653974533081
0.4411340653896332,0.4821666479110718,0.6207976937294006,0.65455561876297,0.5880961418151855,0.5098558068275452
0.4335058033466339,0.4787276089191437,0.6209223866462708,0.8181315660476685,0.6522468328475952,0.5081730484962463
0.4123417139053345,0.464967280626297,0.6367343068122864,0.7277879118919373,0.6136007905006409,0.5331730842590332
0.4089662432670593,0.46131086349487305,0.6418447494506836,0.7464867830276489,0.6208999752998352,0.5269230604171753
0.394643634557724,0.45246052742004395,0.6416844725608826,0.6720695495605469,0.6008340120315552,0.5088942050933838
0.3912084102630615,0.44655025005340576,0.6544159650802612,0.6494066119194031,0.5837249159812927,0.5252403616905212
0.3844926953315735,0.44519054889678955,0.6551816463470459,0.7618306875228882,0.6322209239006042,0.542067289352417
0.3799237012863159,0.44334402680397034,0.6586182713508606,0.7546411156654358,0.6255678534507751,0.5249999761581421
0.3788929879665375,0.43968382477760315,0.6641203761100769,0.6382562518119812,0.5793277025222778,0.5346153974533081
0.3653479516506195,0.430695116519928,0.671456515789032,0.7092359662055969,0.6072962284088135,0.5411058068275452
0.35523131489753723,0.42245492339134216,0.6776175498962402,0.6622980237007141,0.5833056569099426,0.5490384697914124
0.35342127084732056,0.42247405648231506,0.6782228946685791,0.7476910352706909,0.6231189966201782,0.5350961685180664
0.35529711842536926,0.4245411157608032,0.677688717842102,0.7101773619651794,0.6055683493614197,0.5394230484962463
0.3413599133491516,0.41313636302948,0.6921296119689941,0.6864259839057922,0.5992555618286133,0.5247596502304077
