epoch,loss,mae,val_loss,val_mae
20,0.39308106899261475,0.7134973406791687,0.44504889845848083,0.7747059464454651
21,0.38340312242507935,0.7015671133995056,0.4622229039669037,0.7890775203704834
22,0.3741355240345001,0.6893534064292908,0.4377686381340027,0.7645058035850525
23,0.37039685249328613,0.685562014579773,0.4357641041278839,0.7616493105888367
24,0.3646971881389618,0.6781681776046753,0.4245201647281647,0.7503833770751953
25,0.36234623193740845,0.6767774820327759,0.4172150194644928,0.741378128528595
26,0.3560885787010193,0.6690900921821594,0.42800891399383545,0.7526886463165283
27,0.3518315255641937,0.6622649431228638,0.4309541881084442,0.7549974918365479
28,0.3479216694831848,0.6577504277229309,0.41285645961761475,0.7358752489089966
29,0.349825382232666,0.6588125228881836,0.4111359417438507,0.7346166968345642
30,0.34066158533096313,0.647829532623291,0.4202674925327301,0.7444068789482117
31,0.34328311681747437,0.6532408595085144,0.42009440064430237,0.7440055012702942
32,0.33752918243408203,0.6441788077354431,0.40749213099479675,0.7306696176528931
33,0.3408075273036957,0.6469184756278992,0.40223759412765503,0.7246569395065308
34,0.3351026773452759,0.6420559287071228,0.4202668368816376,0.7434622645378113
35,0.33523789048194885,0.6412031054496765,0.40149760246276855,0.7217469811439514
36,0.33653196692466736,0.6420143246650696,0.40600529313087463,0.728287935256958
37,0.3254617154598236,0.6293440461158752,0.40564993023872375,0.7291125059127808
38,0.32146620750427246,0.6231670379638672,0.4165845215320587,0.7387479543685913
39,0.3218301236629486,0.6250108480453491,0.3974854350090027,0.7185535430908203
40,0.3197981119155884,0.6216673851013184,0.39454907178878784,0.7153842449188232
41,0.3212040960788727,0.6239888072013855,0.38677313923835754,0.7066000699996948
42,0.3197021484375,0.6224709749221802,0.387253075838089,0.7065607309341431
43,0.3112465739250183,0.6124839186668396,0.40305155515670776,0.724040687084198
44,0.3151668310165405,0.6162886023521423,0.3987981379032135,0.7204648852348328
45,0.31729909777641296,0.6187540292739868,0.3888114094734192,0.7082714438438416
46,0.31176334619522095,0.6115697026252747,0.4015866219997406,0.7227083444595337
47,0.30998608469963074,0.6087266802787781,0.40617355704307556,0.728114664554596
48,0.3117169141769409,0.6116840243339539,0.39687758684158325,0.717563271522522
