split,accuracy,balanced_accuracy,mae,macro_roc_auc,weighted_roc_auc,qwk
Validation,0.46731234866828086,0.4956662876839645,0.7066000384655183,0.7893477698642687,0.7503332637966732,0.6762951544802627
Test,0.48188405797101447,0.4623380554362589,0.6914507585987089,0.8076896486818035,0.776363037093799,0.6735584100631846
