loss,mae,val_loss,val_mae
1.4692271947860718,0.9388798475265503,1.0110013484954834,0.7741883397102356
1.0263264179229736,0.7955154776573181,1.1129695177078247,0.8135615587234497
0.9530723094940186,0.7654123902320862,1.0849324464797974,0.8218075037002563
0.9506190419197083,0.7627037763595581,1.0003303289413452,0.7732602953910828
0.8972034454345703,0.7418258786201477,1.2480143308639526,0.856988251209259
0.9086223244667053,0.7481316924095154,1.0603786706924438,0.7899776697158813
0.8918737769126892,0.7402369976043701,1.0475736856460571,0.7900766730308533
0.9045099020004272,0.7434245347976685,0.9452434778213501,0.7706775665283203
0.8928315043449402,0.7375988960266113,1.072962760925293,0.8005843162536621
0.8891648650169373,0.7384049296379089,1.3998414278030396,0.9013490676879883
0.8792650103569031,0.7311649322509766,1.0583460330963135,0.7906540036201477
0.8788199424743652,0.7295817136764526,1.0094670057296753,0.7893467545509338
0.8604126572608948,0.7212956547737122,1.024815320968628,0.784734845161438
0.8512888550758362,0.7143605947494507,1.1334437131881714,0.824242889881134
0.8628891706466675,0.7225709557533264,1.0488313436508179,0.7872931361198425
0.823646068572998,0.7091243863105774,0.958044171333313,0.7628282308578491
0.7865580320358276,0.6893829703330994,0.9681769609451294,0.7628580331802368
0.7598921060562134,0.6756817102432251,0.8600519895553589,0.7259240746498108
0.7490531802177429,0.6729924082756042,0.9039720296859741,0.7358719110488892
0.7314462065696716,0.6596001982688904,0.8805492520332336,0.7277042269706726
0.7217724919319153,0.6567971110343933,0.8266041278839111,0.7084927558898926
0.7022243738174438,0.6451271176338196,0.8490846753120422,0.7177522778511047
0.6813400983810425,0.636965811252594,0.8610315918922424,0.7164331674575806
0.6741712093353271,0.6308085322380066,0.8177125453948975,0.7001632452011108
0.6802321672439575,0.6329910755157471,0.8158954977989197,0.7013192772865295
0.6639721989631653,0.6249029040336609,0.8311265110969543,0.7094878554344177
0.6599947214126587,0.6235093474388123,0.8514375686645508,0.7120935320854187
0.6424103379249573,0.6126378774642944,0.859686017036438,0.7116098403930664
0.6502015590667725,0.6165282130241394,0.7993974089622498,0.6896815896034241
0.6271157264709473,0.6038642525672913,0.8351792693138123,0.7002943754196167
0.6214981079101562,0.6002871990203857,0.7617402672767639,0.6696937680244446
0.6195421814918518,0.598677933216095,0.7638484239578247,0.6744733452796936
0.6115837097167969,0.5954554080963135,0.8069093227386475,0.6934309005737305
0.5919522047042847,0.5845932960510254,0.7916824817657471,0.6833668351173401
0.5954319834709167,0.5854651927947998,0.8103893399238586,0.6899311542510986
0.5892685651779175,0.5841106176376343,0.7581183910369873,0.666060745716095
0.5949215292930603,0.5853607058525085,0.8236149549484253,0.6980417966842651
0.5874887704849243,0.5816295742988586,0.7839611768722534,0.6770419478416443
0.5674208998680115,0.5717366933822632,0.80671626329422,0.6881611943244934
0.5759788155555725,0.5746800303459167,0.7733724117279053,0.6763891577720642
0.579512357711792,0.5768347382545471,0.8230963945388794,0.696559488773346
0.5631235837936401,0.5656760334968567,0.7742534279823303,0.6729985475540161
0.5581005215644836,0.5644852519035339,0.9674612879753113,0.7499889135360718
