epoch,loss,mae,val_loss,val_mae
0,1.4692271947860718,0.9388798475265503,1.0110013484954834,0.7741883397102356
1,1.0263264179229736,0.7955154776573181,1.1129695177078247,0.8135615587234497
2,0.9530723094940186,0.7654123902320862,1.0849324464797974,0.8218075037002563
3,0.9506190419197083,0.7627037763595581,1.0003303289413452,0.7732602953910828
4,0.8972034454345703,0.7418258786201477,1.2480143308639526,0.856988251209259
5,0.9086223244667053,0.7481316924095154,1.0603786706924438,0.7899776697158813
6,0.8918737769126892,0.7402369976043701,1.0475736856460571,0.7900766730308533
7,0.9045099020004272,0.7434245347976685,0.9452434778213501,0.7706775665283203
8,0.8928315043449402,0.7375988960266113,1.072962760925293,0.8005843162536621
9,0.8891648650169373,0.7384049296379089,1.3998414278030396,0.9013490676879883
10,0.8792650103569031,0.7311649322509766,1.0583460330963135,0.7906540036201477
11,0.8788199424743652,0.7295817136764526,1.0094670057296753,0.7893467545509338
12,0.8604126572608948,0.7212956547737122,1.024815320968628,0.784734845161438
13,0.8512888550758362,0.7143605947494507,1.1334437131881714,0.824242889881134
14,0.8628891706466675,0.7225709557533264,1.0488313436508179,0.7872931361198425
