split,accuracy,balanced_accuracy,mae,macro_roc_auc,weighted_roc_auc,qwk
Validation,0.4467312348668281,0.49549948015203427,0.6660608301439817,0.806353871625015,0.7678773561397145,0.6843048684304869
Test,0.47342995169082125,0.46078353265246896,0.6529452695650755,0.8187559632608075,0.7889217602020667,0.6943159059622104
