Split,Overall Accuracy,Balanced Accuracy,MAE,Macro ROC AUC (ordinal),Weighted ROC AUC,Quadratic Weighted Kappa
Validation,0.6562,0.6283,0.4649,0.9358,0.8504,0.766
Test,0.6661,0.6449,0.439,0.9501,0.8729,0.7892
