Split,Overall Accuracy,Balanced Accuracy,MAE,Macro ROC AUC (ordinal),Weighted ROC AUC,Quadratic Weighted Kappa
Validation,0.5944,0.569,0.5412,0.9227,0.8135,0.7239
Test,0.6105,0.5806,0.5121,0.9348,0.831,0.7445
