Split,Overall Accuracy,Balanced Accuracy,MAE,Macro ROC AUC (ordinal),Weighted ROC AUC,Quadratic Weighted Kappa
Validation,0.6283,0.6192,0.4528,0.5,0.8191,0.7857
Test,0.6673,0.6364,0.3973,0.5,0.8626,0.8195
