epoch,loss,mae,val_loss,val_mae
0,1.3902153968811035,1.2968577146530151,0.9195167422294617,0.8245100975036621
1,0.9335782527923584,0.8377189040184021,0.9324153065681458,0.8360313177108765
2,0.9062553644180298,0.809441328048706,0.9783867001533508,0.8815522789955139
3,0.897605836391449,0.8006533980369568,0.8836309313774109,0.7862351536750793
4,0.8769445419311523,0.7789494395256042,0.8758615255355835,0.7777869701385498
5,0.8813355565071106,0.782231330871582,0.8708726167678833,0.7709758281707764
6,0.8851499557495117,0.7851154804229736,0.8375420570373535,0.7372466325759888
7,0.8815204501152039,0.7805877327919006,0.8841187953948975,0.7826853394508362
8,0.8795095086097717,0.7774142026901245,0.851955771446228,0.7498306632041931
9,0.8757048845291138,0.7743042707443237,0.9602991938591003,0.8587494492530823
10,0.8632706999778748,0.7620722651481628,0.8939602971076965,0.7938652634620667
11,0.8683893084526062,0.7681976556777954,0.8425227999687195,0.7430641055107117
