split,accuracy,balanced_accuracy,mae,macro_roc_auc,weighted_roc_auc,qwk
Validation,0.5714285714285714,0.554887022048171,0.6016949152542372,0.8362220704255442,0.7978674430040731,0.6669810764605317
Test,0.5748792270531401,0.5132775906328332,0.5730676328502415,0.8260258344812682,0.8008954226332148,0.6935176270042989
