epoch,accuracy,loss,mae,val_accuracy,val_loss,val_mae
9,0.6337965726852417,0.9474258422851562,0.1939278393983841,0.527845025062561,1.168606162071228,0.23476271331310272
10,0.6525031328201294,0.9063666462898254,0.18797142803668976,0.5290557146072388,1.1607948541641235,0.2320476472377777
11,0.659005880355835,0.8819887638092041,0.18441540002822876,0.5435835123062134,1.1455107927322388,0.23147143423557281
12,0.6794940233230591,0.8506439328193665,0.17878715693950653,0.5411622524261475,1.1400777101516724,0.22800686955451965
13,0.6876001954078674,0.8266875743865967,0.1749732494354248,0.5520581007003784,1.1270291805267334,0.22629611194133759
14,0.6980224251747131,0.808620035648346,0.1711016446352005,0.5435835123062134,1.1285542249679565,0.2247779220342636
15,0.7053269147872925,0.7896295785903931,0.16791658103466034,0.5508474707603455,1.112751841545105,0.2239544689655304
16,0.716016411781311,0.7720864415168762,0.16417929530143738,0.5508474707603455,1.1137369871139526,0.22403930127620697
17,0.7216283679008484,0.7518730759620667,0.16069354116916656,0.5544794201850891,1.1143245697021484,0.21977274119853973
18,0.7252805829048157,0.7405024170875549,0.15799754858016968,0.5520581007003784,1.1032260656356812,0.2197382003068924
19,0.7362372875213623,0.7193828225135803,0.15473327040672302,0.5617433190345764,1.112912654876709,0.21748195588588715
20,0.7455905675888062,0.7014349102973938,0.15135110914707184,0.5569007396697998,1.0943496227264404,0.21762637794017792
21,0.7489755749702454,0.6875289678573608,0.1481476128101349,0.5690072774887085,1.0949134826660156,0.21590521931648254
22,0.7610012292861938,0.6653656959533691,0.1446562558412552,0.5653753280639648,1.0968635082244873,0.21472786366939545
23,0.7690183520317078,0.6479026079177856,0.14088119566440582,0.5605326890945435,1.0928096771240234,0.21521317958831787
24,0.7757883667945862,0.6355386972427368,0.13793089985847473,0.5714285969734192,1.091910481452942,0.21307095885276794
25,0.7775699496269226,0.627230167388916,0.13672903180122375,0.5702179074287415,1.0982849597930908,0.21103118360042572
26,0.7858542799949646,0.6047723889350891,0.13208304345607758,0.5774818658828735,1.0958466529846191,0.20950685441493988
27,0.7970781922340393,0.5940350890159607,0.1300070881843567,0.5738498568534851,1.1060066223144531,0.20737817883491516
28,0.8050953149795532,0.5748222470283508,0.12624093890190125,0.5774818658828735,1.109203577041626,0.20711904764175415
29,0.8095492720603943,0.5619239211082458,0.12333313375711441,0.5774818658828735,1.0976728200912476,0.20619285106658936
30,0.8097274303436279,0.5575039982795715,0.12222614884376526,0.5714285969734192,1.0895564556121826,0.20764775574207306
31,0.8189025521278381,0.5295807123184204,0.1172698587179184,0.5690072774887085,1.106083869934082,0.20330435037612915
32,0.8256725668907166,0.5192134976387024,0.11524172872304916,0.5702179074287415,1.0947554111480713,0.20507581532001495
33,0.8348476886749268,0.5085315108299255,0.11233647912740707,0.5690072774887085,1.1145901679992676,0.2017906904220581
34,0.8425084352493286,0.49326953291893005,0.10908474028110504,0.5702179074287415,1.1154316663742065,0.20247918367385864
35,0.849812924861908,0.47381144762039185,0.10522081702947617,0.5738498568534851,1.1104753017425537,0.20024827122688293
36,0.854266881942749,0.4588373303413391,0.10216984152793884,0.5738498568534851,1.12606942653656,0.1995139718055725
37,0.8629966378211975,0.448461651802063,0.09958435595035553,0.5738498568534851,1.1196025609970093,0.20046503841876984
