loss,accuracy,val_loss,val_accuracy
1.673034906387329,0.5003563165664673,1.5735535621643066,0.5072638988494873
1.229917287826538,0.6549082398414612,1.5379317998886108,0.5108959078788757
1.0289355516433716,0.7393550872802734,1.5554312467575073,0.501210629940033
0.9000164866447449,0.7879030704498291,1.5996413230895996,0.49152541160583496
0.8177944421768188,0.8197042346000671,1.7194077968597412,0.49636805057525635
0.7340338826179504,0.8489221334457397,1.699507474899292,0.5060532689094543
0.6795749068260193,0.8670051693916321,1.7360690832138062,0.47215497493743896
0.6397301554679871,0.8782290816307068,1.8078134059906006,0.4552057981491089
0.5891971588134766,0.8947086930274963,1.8837312459945679,0.47215497493743896
0.5347074866294861,0.9113664627075195,2.04567551612854,0.4406779706478119
0.9738515019416809,0.7497773170471191,1.3936047554016113,0.5460048317909241
0.804131031036377,0.8083021640777588,1.4717867374420166,0.5399515628814697
0.708371102809906,0.848476767539978,1.459203839302063,0.5435835123062134
0.6182750463485718,0.8866916298866272,1.5425759553909302,0.5254237055778503
0.5560362935066223,0.9111883044242859,1.5102107524871826,0.5859563946723938
0.4749910831451416,0.9482451677322388,1.6641795635223389,0.5266343951225281
0.4213360846042633,0.9677534103393555,1.6238051652908325,0.5508474707603455
0.39382460713386536,0.9760377407073975,1.7463173866271973,0.5762711763381958
0.3854426443576813,0.9757705330848694,1.721455693244934,0.5363196134567261
0.3674415051937103,0.9810261726379395,1.8379939794540405,0.5653753280639648
0.36378005146980286,0.9807589650154114,1.889525294303894,0.527845025062561
0.3468567728996277,0.9845893383026123,1.7473448514938354,0.5508474707603455
0.3339379131793976,0.9902012944221497,1.7842981815338135,0.5520581007003784
0.3341769874095917,0.986727237701416,2.0047364234924316,0.5629540085792542
0.3319340646266937,0.9865490794181824,1.9481390714645386,0.6041162014007568
0.33046603202819824,0.9868163466453552,1.9483212232589722,0.5702179074287415
0.33411356806755066,0.9846784472465515,2.190368175506592,0.5956416726112366
0.3130659759044647,0.9910920858383179,2.149737596511841,0.5859563946723938
0.315219521522522,0.9884197115898132,1.8671178817749023,0.5738498568534851
0.3024742603302002,0.9929627776145935,1.8989894390106201,0.5653753280639648
0.306423544883728,0.9893996119499207,1.8740814924240112,0.5677965879440308
