model,accuracy,balanced_accuracy,mae,macro_roc_auc,weighted_roc_auc,qwk,precision,recall,f1_score
Custom CNN (from scratch),0.6080917874396136,0.6311665628017834,0.5246639972251637,0.8318205450868813,0.7993605455527818,0.707387644049362,0.5548472932114115,0.6311665628017834,0.5655554012529156
Fine-Tuned VGG16,0.6334541062801933,0.626184764176828,0.4769592309609502,0.8395573463833654,0.8129868156552102,0.7478228802672584,0.6342611801068484,0.626184764176828,0.6181841595098435
Ensemble (CNN + VGG16),0.6509661835748792,0.6474726137969798,0.4666564199982584,0.8497410099575735,0.825283128886922,0.7708432495706143,0.6197372265641607,0.6474726137969798,0.6075379280478234
