epoch,accuracy,loss,lr,val_accuracy,val_loss
8,0.585693895816803,1.0454570055007935,1e-05,0.5266343951225281,1.1797822713851929
9,0.5970069766044617,1.0149561166763306,1e-05,0.5254237055778503,1.1689116954803467
10,0.6219490766525269,0.9730114340782166,1e-05,0.5302663445472717,1.1660733222961426
11,0.6264029741287231,0.9520997405052185,1e-05,0.5205811262130737,1.1775352954864502
12,0.6413682699203491,0.9268937706947327,1e-05,0.5423728823661804,1.1508824825286865
13,0.6478710174560547,0.906633198261261,1e-05,0.5387409329414368,1.1363770961761475
14,0.6494744420051575,0.8976695537567139,1e-05,0.5205811262130737,1.1591955423355103
15,0.6627472043037415,0.8789267539978027,1e-05,0.5411622524261475,1.1404081583023071
16,0.6712987422943115,0.8624712824821472,1e-05,0.5472155213356018,1.128547191619873
17,0.6709424257278442,0.854229748249054,1e-05,0.5605326890945435,1.0958081483840942
18,0.68002849817276,0.8342108130455017,1e-05,0.5520581007003784,1.1143285036087036
19,0.6812756061553955,0.8316307663917542,1e-05,0.5556900501251221,1.1024081707000732
20,0.6892927289009094,0.8121764063835144,1e-05,0.5617433190345764,1.0811638832092285
21,0.6993586421012878,0.8010674715042114,1e-05,0.5508474707603455,1.0977251529693604
22,0.6981115341186523,0.7919633984565735,1e-05,0.5544794201850891,1.0892517566680908
23,0.7054160237312317,0.781836986541748,1e-05,0.5677965879440308,1.0767360925674438
24,0.7088009715080261,0.7658732533454895,1e-05,0.5726392269134521,1.0764812231063843
25,0.7151256203651428,0.7570169568061829,1e-05,0.5569007396697998,1.0894463062286377
26,0.7164617776870728,0.7521545886993408,1e-05,0.5641646385192871,1.076867699623108
27,0.7137894034385681,0.7565879225730896,1e-05,0.5714285969734192,1.08729887008667
28,0.7224300503730774,0.7368713021278381,1e-05,0.5762711763381958,1.0671073198318481
29,0.7203812599182129,0.7384927868843079,1e-05,0.5726392269134521,1.0812208652496338
30,0.7249242663383484,0.7388721108436584,1e-05,0.5738498568534851,1.0805788040161133
31,0.7259041666984558,0.7230755686759949,1e-05,0.5738498568534851,1.0772329568862915
32,0.7308034896850586,0.7159306406974792,1e-05,0.5774818658828735,1.0707972049713135
33,0.7324069142341614,0.7115516662597656,1e-06,0.5738498568534851,1.0814402103424072
34,0.7363263964653015,0.7093741297721863,1e-06,0.5774818658828735,1.0828144550323486
35,0.7346338629722595,0.7039129137992859,1e-06,0.5774818658828735,1.07874596118927
36,0.7323178052902222,0.7061032652854919,1e-06,0.5762711763381958,1.081445574760437
37,0.7354356050491333,0.7012964487075806,1e-06,0.5774818658828735,1.07786226272583
38,0.7384642958641052,0.6950007677078247,1e-06,0.5811138153076172,1.0748604536056519
39,0.7409585118293762,0.6994276642799377,1e-06,0.5811138153076172,1.079267144203186
40,0.7367717623710632,0.6999301910400391,1e-06,0.5799031257629395,1.0758421421051025
41,0.7359700798988342,0.6939366459846497,1e-06,0.5823244452476501,1.0741686820983887
42,0.7392659783363342,0.6939549446105957,1e-06,0.5799031257629395,1.0738955736160278
43,0.7377516627311707,0.6994681358337402,1e-06,0.5811138153076172,1.0743865966796875
44,0.7390878200531006,0.6932654976844788,1e-06,0.5774818658828735,1.079468846321106
45,0.7442544102668762,0.6865201592445374,1e-06,0.5799031257629395,1.0735282897949219
46,0.7382861375808716,0.6886367201805115,1e-06,0.5847457647323608,1.0700128078460693
47,0.7407803535461426,0.6876226663589478,1e-06,0.5835351347923279,1.0759985446929932
48,0.7414038777351379,0.6937879920005798,1e-06,0.5799031257629395,1.073622465133667
49,0.7377516627311707,0.6932928562164307,1e-06,0.5823244452476501,1.0698713064193726
